gene,in_network,disease_score,tissue_score,topology_score,ppi_final,score_mode,score_weight_sum,note,gene_in_d,gene_d_evidence_score,gene_in_t,gene_t_weight,mapped_tissues_json,d_gene_count,t_gene_count
TFIP11,True,0.32,1.0,0.8091599000230334,0.7482899750057583,FULL_ANCHOR,1.0,OK,False,0.0,True,3,"[""eye"", ""nerve"", ""retina""]",114,11370
MRPS34,True,0.32,1.0,0.8017766744339281,0.7464441686084821,FULL_ANCHOR,1.0,OK,False,0.0,True,3,"[""eye"", ""nerve"", ""retina""]",114,11370
ALK,True,0.56,0.8,0.871189998204986,0.7457974995512465,FULL_ANCHOR,1.0,OK,False,0.0,False,0,"[""eye"", ""nerve"", ""retina""]",114,11370
TXNRD2,True,0.8,0.6666666666666666,0.8201054389596574,0.7450263597399144,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
KDM6B,True,0.6799999999999999,0.6666666666666666,0.9635540953133449,0.7448885238283363,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
KAT2B,True,0.6799999999999999,0.6666666666666666,0.9630179195623514,0.7447544798905879,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
CACNA1A,True,0.8,0.6666666666666666,0.8126421611902475,0.7431605402975618,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
PPP2R1A,True,0.44,0.8333333333333333,0.9425139665504662,0.7426284916376166,FULL_ANCHOR,1.0,OK,False,0.0,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370
ECHS1,True,0.8,0.6666666666666666,0.8077680118655383,0.7419420029663846,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
CRKL,True,0.56,0.8333333333333333,0.7920529751278266,0.7410132437819567,FULL_ANCHOR,1.0,OK,False,0.0,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370
CYFIP1,True,0.56,0.8333333333333333,0.7913370121030684,0.7408342530257671,FULL_ANCHOR,1.0,OK,False,0.0,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370
PRMT5,True,0.44,0.8333333333333333,0.9335659142200988,0.7403914785550247,FULL_ANCHOR,1.0,OK,False,0.0,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370
SIN3A,True,0.44,0.8333333333333333,0.9330096346467742,0.7402524086616935,FULL_ANCHOR,1.0,OK,False,0.0,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370
MMP2,True,0.6799999999999999,0.6666666666666666,0.9442776265203046,0.7400694066300761,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
ANK3,True,0.6799999999999999,0.6666666666666666,0.9433043344838123,0.7398260836209531,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
PMS2,True,0.8,0.6666666666666666,0.7982179539695882,0.739554488492397,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
SKIC8,True,0.56,0.8333333333333333,0.7847479409868756,0.739186985246719,FULL_ANCHOR,1.0,OK,False,0.0,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370
RAC2,True,0.6799999999999999,0.6666666666666666,0.9399567125707413,0.7389891781426854,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
RAD21,True,0.44,0.8333333333333333,0.9177265943926753,0.7364316485981688,FULL_ANCHOR,1.0,OK,False,0.0,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370
SYNE1,True,0.8,0.6666666666666666,0.7830767027352703,0.7357691756838176,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
NDUFB9,True,0.56,0.8333333333333333,0.7668788413171976,0.7347197103292995,FULL_ANCHOR,1.0,OK,False,0.0,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370
SRF,True,0.56,0.8333333333333333,0.7653132040637034,0.7343283010159258,FULL_ANCHOR,1.0,OK,False,0.0,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370
PHF5A,True,0.32,1.0,0.7507483278122897,0.7336870819530725,FULL_ANCHOR,1.0,OK,False,0.0,True,3,"[""eye"", ""nerve"", ""retina""]",114,11370
HSD17B4,True,0.8,0.6666666666666666,0.7659801373607751,0.7314950343401938,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
MED6,True,0.32,1.0,0.7379299398761142,0.7304824849690286,FULL_ANCHOR,1.0,OK,False,0.0,True,3,"[""eye"", ""nerve"", ""retina""]",114,11370
COL5A2,True,0.6799999999999999,0.8,0.6638499902750012,0.7299624975687504,FULL_ANCHOR,1.0,OK,False,0.0,False,0,"[""eye"", ""nerve"", ""retina""]",114,11370
LARGE2,True,0.8,0.8,0.5167189338289895,0.7291797334572474,FULL_ANCHOR,1.0,OK,False,0.0,False,0,"[""eye"", ""nerve"", ""retina""]",114,11370
YME1L1,True,0.8,0.6666666666666666,0.7489289208162698,0.7272322302040675,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
REV3L,True,0.56,0.8333333333333333,0.73032960634116,0.7255824015852901,FULL_ANCHOR,1.0,OK,False,0.0,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370
CDH23,True,0.8,0.6666666666666666,0.735866883744028,0.723966720936007,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
MTFMT,True,0.56,0.8,0.7782605950894939,0.7225651487723734,FULL_ANCHOR,1.0,OK,False,0.0,False,0,"[""eye"", ""nerve"", ""retina""]",114,11370
RPS27L,True,0.44,0.8333333333333333,0.8607842254964552,0.7221960563741138,FULL_ANCHOR,1.0,OK,False,0.0,True,2,"[""eye"", ""nerve"", ""retina""]",114,11370
PDHX,True,0.8,0.6666666666666666,0.7249331935475067,0.7212332983868768,FULL_ANCHOR,1.0,OK,False,0.0,True,1,"[""eye"", ""nerve"", ""retina""]",114,11370
